"File","QpdfExitCode","SHA256","Bytes","Source"
"conformance\preservation\openpreserve-format-corpus\desktop-publishing\InDesign\Neddy_Flyer_HeatherRyan.pdf","3","6A3C9444D4905C8896A717BE7C30EE7D20B3C319EB2D3D469393A0F0E3529243","59106","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\calibre 0.8.57\Lorem Ipsum - Andrew Jackson.pdf","0","DE27B8FEDA2AB31DF801C4894732389A5255F39A1C6A979C418F0D134161B151","41814","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\calibre 0.9.0\lorem-ipsum.pdf","0","ED5F14EFAADA2CB0EB76CC3529E08859667B2319ADB38C0BE601AE044B7DCCB0","43433","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\iBooks Author 1.1 (190)\lorem-ipsum-openprintcopypw.pdf","2","964EF0FED1D9757E6B06F6197503B3E06223435D1A943E8A44AB5A1FD921716A","32582","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\iBooks Author 1.1 (190)\lorem-ipsum-plus-image-openprintcopypw.pdf","2","5133A751297B9BFF66CFF73CAA9BF26B29859BC6E13F6DD06CAD8657443092EA","66644","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\iBooks Author 1.1 (190)\lorem-ipsum-plus-image.pdf","0","90A0FFCFEFF4FA3F94A265FD5E9FDC02441A7B35995B5CE0D2FFFE735634089B","66370","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\iBooks Author 1.1 (190)\lorem-ipsum.pdf","0","DE13A09C609012FF67EDAF241C977D282552DC5C50FD46EDAFA608CB16545B87","32474","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\iBooks Author 2.0 (327)\lorem-ipsum-plus-image-updated-opencopyprintpw.pdf","2","2EB1873D43589E63A5212B275BEC83A1E8D3E7A8B55DFC03AA9683E8983B1D68","58296","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\ebooks\iBooks Author 2.0 (327)\lorem-ipsum-plus-image-updated.pdf","0","31047B45155C889BB65D618E919B5071859F5EBA90FC7E4CDFB8C364AFAF4B91","58049","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\fully-featured-pdf\PDF-Sample-Document-Fully-Featured-Layout_Redacted.pdf","3","0C5A2726B6821FE94A3AB7DA92AB2655E41BF90FFF9AF91F55A48CE6308C061F","22724407","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-1\12884_2006_Article_120.pdf","3","E77DC80EA5636D6D8E02A9BB388924183F9C446049A57A872DA535E98001D031","588797","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-1\jne5_4_l03.pdf","3","67BC5BF36F12D12661FAC3CC12EF4483901B79D436F99BB95115EE5965194479","1252982","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-104\AIAA-2005-6173-712.pdf","0","4BB86B4F80134C764DA1BCAC9FA43F24D01EF783D511EE90AEA494B0C4D38812","1873453","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-109\88702.pdf","3","C610A87483B54BE0FD471B7C6AE675727BF33B29A0A8A32AF2BEABD93EB50AF5","2299509","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-109\Godfrey Lubuulwa-Thesis-2023.pdf","3","D71099E526ABA722A9F837F5795D51484319BB4AD56053C871C73A78C34ECE67","4597067","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-11\Hawes et al_2024_Comparing the Carbon Footprints of Urban and Conventional Agriculture.pdf","3","CF4ED482C514E8C7CAD07B2A85F45D8D8C71679313EDE39517C20DD50FD50B5D","5879598","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-11\S2053273314007578.pdf","0","3F200C455962D0D3DE8D11FF863C54157886FF6E0387A129BC5B1D1C49267F33","85814","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-110\102924.pdf","0","964021C43E78B3274B32DBEE5618A2F2DE82CE2DDE134768A121FC7A8EBFEE90","1943449","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-110\hesr13613-sup-0001-Authormatrix.pdf","3","0CD88B1681BDFE4CCD14B8B924314F3E1DE489F2AC9281C10C9EADB78512FFAD","1894859","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-114\LLMImplicationsforScience.pdf","3","194003DB8DD829DD3E20D3A1166C176A5E25E118F5A1CBE2463D46E70F608CF2","1598244","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-114\response-to-fiber-concerns[1].pdf","3","FFE956EBAE1BD1874AED39EEA746A2A3815001C74E0A318A88D3010099A795AD","3280827","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-117\363_Risk-Based Management of Groundwater Contamination _Paper.pdf","0","F6C5F3EE39308D1051A5360110DBE029814016551560D54432C159486ECB36D1","8972746","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-117\me450f12project10_report.pdf","3","0D3120F97C3B1F1D22A1BC5D251AE790051C9EAC33F5148D99C5234EA9FC977D","15002290","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-119\breast+cancer+immunotherapy.pdf","3","1229E1CBCDAF4F6825BF00BA6F1A2DC0307B487DF9715FCD84E603CD0FBD2A5B","345974","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-119\UMTRI-2000-15.pdf","3","73E6AA6D30CF671AD067CDA2B8CF552778179CC9D0F59EE0695335D82F23437A","378254","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-12\hae14831.pdf","3","61A74DCC070C3F8B70DBCAA5EF161E57A10071C26E73DBCB2A62A992A46DE464","2631018","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-121\102952.pdf","3","E5A1E335B1A84B5DC3601AD7820E7A780979F14838457B8D75AEBBD9BF07CE1C","5218823","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-121\1742-6596_375_00_001001.pdf","0","AA8C79B4CF36FA86B9B0541C65B302255DE42E432E208A05EB70DEEDEAB27D5B","2561742","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-122\dweigel_1.pdf","0","63E8AA134F6705B311BAB3D7971064A4B2C46170B2B373DB46544B707AC667C9","1344717","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-122\selederm.pdf","3","C8B705EEE0703B12E3FF1D25C4CBB07F6D5B0F5EF1D8903917016F06B0709E4E","3291597","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-123\hisn13025_am.pdf","3","F3E797191706C17CE139B128B72CECD28370B1F838CEF83FF95B46326559CB6C","87600","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-123\hisn13056.pdf","3","5042F03661034A54AC374A545CE0B6EE57E19FB7159549D38C372155EF290E55","446426","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-124\jper10458-sup-0001-figureS1A.pdf","3","E71B2A5B1AAC53B07988EF1DACDCDB4C184CF33E88C3EA360A036C59E6BA038F","15034","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-124\jper10458-sup-0002-figureS1B.pdf","3","60EBBC1ADFA51EFA28E9DFD74A9D42D60193F5D04785F4FF15652EAD2A37E454","11990","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-126\drafts_David-Cyberstructure_Washington(Brussels-5)+2figs.pdf","0","96A460625799EC57F647869D493654EEF94F7533D53178D44CA3335B2A04895C","414362","openpreserve-format-corpus"
"conformance\preservation\openpreserve-format-corpus\jhove-errors\PDF-HUL-126\wp592.pdf","0","04A97DFEB702DCC28C011E69892054B428C7878A4514BA1EE538987DD7E3C25D","490943","openpreserve-format-corpus"
