"File","QpdfExitCode","SHA256","Bytes","Source"
"regression\pdfbox\examples\src\main\resources\org\apache\pdfbox\examples\interactive\form\FillFormField.pdf","0","1FE658A3068F516D4B47A70D6768141B954A4BCAB1387674C54E6DD4F0B98732","7771","pdfbox"
"regression\pdfbox\examples\src\main\resources\org\apache\pdfbox\examples\rendering\custom-render-demo.pdf","0","642D8B759EAFF6913A1DC66256F42A0C9C311E01A615ABB0C98FDA2B3BC7E58F","34062","pdfbox"
"regression\pdfbox\examples\src\test\resources\org\apache\pdfbox\examples\pdmodel\document.pdf","0","A31F3B5FC79E6AE2703F9D2817AF088F29AEF4937E370B173512D820A9972C35","1042","pdfbox"
"regression\pdfbox\examples\src\test\resources\org\apache\pdfbox\examples\signature\sign_me_protected.pdf","2","AD92D356CD45E43A764FD3A92496DBF4471E0EF1CCA3E5277F9B586B340EECBD","10537","pdfbox"
"regression\pdfbox\examples\src\test\resources\org\apache\pdfbox\examples\signature\sign_me_tsa.pdf","0","012535A2D9684F8636C77B5C3865E7AFD7DCD712D698E74E2E7D830A28CBCB1F","18465","pdfbox"
"regression\pdfbox\examples\src\test\resources\org\apache\pdfbox\examples\signature\sign_me_visible.pdf","0","11A64345AFB282EDE9CFB0A4BCB12B3A9B9D41171CB50B26F7B562A5F7655630","18941","pdfbox"
"regression\pdfbox\examples\src\test\resources\org\apache\pdfbox\examples\signature\sign_me.pdf","0","FAB877985A860606E06E7AF7E15DDAB4CED89E0C90B705EDADA964E34DC9B472","18159","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\cweb.pdf","3","CDC74CC6DB82DAE5F68AE30A32AC154A6B35EB698F08749F3C6D5A2C2A0A2680","272008","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\data-000001.pdf","0","D86E452E26A91F5DCED4B903EEFCDAA1BB3C0ACC0BB19AFCD45E526074E197A7","3072","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\eu-001.pdf","0","EF7A64967276181A563E781BAB46EA52DD376155AD2287C4E1303781203F91D8","68143","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\FC60_Times.pdf","3","1616A1FC70FB70812F9865E4E6648736B218AB0D44775380ADAF668E4300CC0D","25815","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\hello3.pdf","3","2B4AA9B63F3EED9A5E544B10BC677FCF70E1BAAA62651E786A9D22D5DEC860B2","30269","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\Liste732004001452_001_0.pdf_0_.pdf","0","467C9B4BD29E155CD80447C36BFEBA95EE39BC105781C28D1E05019026B14064","8056","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\openoffice-test-document.pdf","0","93256E712348392F3841A51D6E6E16774DCF5E2405073EBC55C64B64AC606446","12418","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-2984-rotations.pdf","0","7D8A182B2D8EF95D75BB610159289959BEE9C26746413D0C01B10BB65F27CCE7","3244","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3025.pdf","0","602816BD821DB5116BA9FD59D8C81A7D63058F6D21A302E190E19C0EDDF76B15","42418","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3038-001033-p2.pdf","0","F4489ABFD221FEA0520E00FA9E769E1844C875F67AA130C0243ACF6F1E4379E9","56750","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3042-003177-p2.pdf","0","4DB9F5E127325B375689ED8336FA71FA61B2D3068A796FBDF1AE78EE396E1576","394897","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3044-010197-p5-ligatures.pdf","0","79F6D8BF755E3D39409F50B62B7DE3B0E3592BA2B6904FD60E06E340554CC7B5","24624","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3053-reduced.pdf","0","DE02FE12323BB7B8CDCF375715C91ECD72628483F9BEF75AEDE850EFA8FF110E","50134","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3061-092465-reduced.pdf","0","7FDD5D70EFC39AB4D34A6931B30448A4F716BDE5DC9FF22CA95343E7B4479234","23266","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3062-002207-p1.pdf","0","BE6ADC030BEF968741CCC825ED59D0AEF65462F86F19FD7B535DD89E6137AA97","52066","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3062-005717-p1.pdf","0","F0BD011B78841DB29376F648E455663600AAB1685C196251F293F995162DAE08","11976","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3062-N2MOQ7YZICIYGTPLQJAWJ4HLN6CCEMHZ-reduced.pdf","0","6E1A635A085FECE06F85025E3BB9DFB5AA1B4E1415F3D2D09AD361CBC531B95B","111124","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3067-negativeTf.pdf","3","2D4ADB040C964C00B2DC3F36F2BB04645B68AA9DB9F96783F710364B8D86B191","2459","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3110-poems-beads-cropbox.pdf","0","BC24610183079923DCB7A292167B7EED96AECF3C6A8A91BD254A526B553EDE50","44500","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3110-poems-beads.pdf","0","9D715CE4E964F6CCBF50E1D1C42CA5F01425A079A5C39A9581C876C56AFCA1B3","45598","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3123-ADSFWTRB3HBZBZKEVESVTBRZC2MNKZF5_reduced.pdf","0","8524EEEDBD348B98BAABAAE5D0233C9E91474B3C8CBD19611907041A88C34D56","13363","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3127-RAU4G6QMOVRYBISJU7R6MOVZCRFUO7P4-VFont.pdf","3","E915930E95FEF0727ACC1EA2C674640D39BA2F820F4487E59F0CEB96A986762D","80944","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3195.pdf","0","7AAEDC9BCF71D8B726C986DB3CB4CC22F6D7EC90FE19A61ECBD2574E251FEB85","1463","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3498-Y5TLCWTIAE3FYDVJTV2TXRZGXLEDUNSW.pdf","3","44C23B08F4DA2DB659AB4F98EA098F0FC2B9F9BB532624E99D4EFEBAE7AB4685","44136","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-3833-reduced.pdf","0","69EEB7845A36925556EC8C67847864752E4421BFCB4D810B415F4F716D0CE0BD","101823","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-4322-Empty-ToUnicode-reduced.pdf","0","C3B4A465B7664677F13AA3079EF4E5223EAC9A1CF82719A863D07034388D2798","21387","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-4531-bidi-ligature-1.pdf","3","05449B36C6B147652EF3C0B5404AE84B9D8C4352A43F96EC27CEF8714F99B13F","5622","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-4531-bidi-ligature-2.pdf","0","CF4D80AC8466D07678DE7651D63FDA747A34B600C57FB4A8EB8FAF9D612465AE","40256","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-4532-reduced.pdf","3","600A823076CCFDF20CC4FBE128797DE58728DAC80D5B088DF5A066106325FA91","86730","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-5002.pdf","0","401586241A33742D6C562AC18859D4FB3F7D078C828C2ECA9DB3D3A8DFF5FCB1","941","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-5350-JX57O5E5YG6XM4FZABPULQGTW4OXPCWA-p1-reduced.pdf","3","AD13A85449C62B7665D552E3702BE867DE213EFB0DEFD8742A1D5A3D748FBFC9","48143","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-5747-unicode-surrogate-with-diacritic-reduced.pdf","3","4E822BA5255923364BAF5FDC14141A6CB6B860A5F4F86261043E7E08C7FCE382","2019","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-5838-0024320-reduced.pdf","3","2C0D8CCCC130E50582BAC9DD7786FC068D8E25A271DEBC341F5E724FC601D042","80769","pdfbox"
"regression\pdfbox\pdfbox\src\test\resources\input\PDFBOX-5920-4MQTG6ZXOYSMTQ444KGQOVC6ZFQHWFNY-spaces-reduced.pdf","3","5D817C599E1D0E12D2568B75598D34DF4A376A694465F14E94BBD73304754D47","5821","pdfbox"
