"File","QpdfExitCode","SHA256","Bytes","Source"
"conformance/safedocs/CompactedSyntax/CompactedPDFSyntaxMatrix.pdf","0","E6D3CE17CE4EA3CA93E3C6AB3A852F356209D32E3A00920CB490461BE0120AEC","324169","pdf-association-safedocs"
"conformance/safedocs/CompactedSyntax/CompactedPDFSyntaxTest.pdf","3","DF9AB28A64F63896152934FB13E9EE1322CBD94874206B91107344FFFF7AAA6C","4011","pdf-association-safedocs"
"conformance/safedocs/Dialects/Dialect-ContentStreams.pdf","0","916486E480BD74299CA4470584B2C1503452F86BAC43C6D9C7276E36D7F5F88D","3179","pdf-association-safedocs"
"conformance/safedocs/Dialects/Dialect-ContentStreamsViaResourceNames.pdf","0","B36796872FE319D8A0BBE2F38B28595D05E6BBE3B0A5C591E1221A33393F38C6","3275","pdf-association-safedocs"
"conformance/safedocs/Dialects/Dialect-ContentStreamsWithIndirectRefs.pdf","3","E72A02730490375BF3D9A96B310E69EFE2E58B25A7B8B4AC27078F8B87BA9270","3222","pdf-association-safedocs"
"conformance/safedocs/Dialects/Dialect-DictIsStream.pdf","2","A9EB0A3FA943629F29B42471643436D5BCA4C55B27AE9AABC8E17E1FC6889008","788","pdf-association-safedocs"
"conformance/safedocs/Dialects/Dialect-StreamIsDict.pdf","3","0CD3361DF97988626B219C9B691E51BE5A290C79DE5BCB3F7660C517A6E59FFC","755","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/Dual-startxref.pdf","0","378E1E7967AF58F6847A2E6AC56D9384E4BA08071B7ECEE1FBA5785073409135","1637","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/FontinsideType3insideType3.pdf","0","92434006539D935FD64D2300BB14CA05D3D053FD8D4FB3D5E33674F391BC5754","1959","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/LinkAnnot-appearances.pdf","0","6A10C809C7A5AFE1FE7E9DF0071FF10AD9AE0421605AB89735E66D245A3EB788","1702","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/list-of-uri-actions-with-base.pdf","0","9CD3BD10B41FB06BFEE907BB832C25B4C9913499DA9AB02430F7B97F4461A8A7","3314","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/list-of-uri-actions.pdf","0","C5045D62F5D5A234E1487B607C4B6218F32945BE3AC81669F75A928E1C6A6B00","2258","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/PatternTextInsideText.pdf","0","C61F1E483C11DAC03FB1EF0FC873F0FD54832AE2476CB8E4D2C21C1E37DA004A","1275","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/PDF-NoPageContents.pdf","0","3039E924817962A2BDAF51361733702D4A1734A05A3D3708797CD8FB65589FB5","818","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/uri-ismap-test.pdf","0","A3A8368B9D511FBACB23BEF3870A928664A6FF017C53B5C2EFE91F9177E8F518","137201","pdf-association-safedocs"
"conformance/safedocs/Miscellaneous Targeted Test PDFs/utf16LE-test.pdf","0","04AF7ACED559CA6B9FBF7A466526A94F3B76CF75ED6AF81F4F963892A9BCACFA","14417","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/baseline/unicode-test-actualtext.pdf","0","16AD05198B71ECFBF34A8DBA5B762DE0F64A2E5242549421A284DA28FE79563C","4676","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/baseline/unicode-test.pdf","0","A093870C296EAEB6E88980F0B84A03388FD23E1515DFA7592A33A45E8DAB191A","4421","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/corrigendum4/unicode-test-U2F874-correct.pdf","2","D30412E5424589FC26B66B2463C53E4059916A86D29416544E5D1C9D2551ECFA","5273","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/corrigendum4/unicode-test-U2F874-wrong.pdf","2","B5FF24D38F77B2875251A82D6E323D6024DC441C8B22817EFBD4FEB84C5AAA9D","5273","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/corrigendum5/unicode-corrigendum5-fixed.pdf","2","70421A50FD5E36CF7FACAAC763B9EED337F8AEFCDE9CB04AE7DAE8D78A50D31A","5273","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/corrigendum5/unicode-corrigendum5-unicode32-once.pdf","2","628F77AF77AFFC4CE8768AFBD8D4E073760B46393F2C5FB17783CF5686CC9AAB","5273","pdf-association-safedocs"
"conformance/safedocs/Unicode passwords/corrigendum5/unicode-corrigendum5-unicode32-twice.pdf","2","A8224FE8278F4B3EB8BAE0345B282C83D9C959505724EC7FE2680628EA7D035F","5273","pdf-association-safedocs"
