"File","QpdfExitCode","SHA256","Bytes","Source"
"conformance\validation\synthetic-pdf-testset\T01_001_header-invalid-major-version.pdf","0","DB3F4042745FA524C0543BF02DAF435FD8939DE12355EC6AA2AE80EEA623CE98","636","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T01_002_header-invalid-minor-version.pdf","0","B2572D82D6DF00FAF10C2DAC1BF2E8E6C3257BE8538CD3B81C29E45102DF4C53","636","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T01_003_header-no-minor-version.pdf","3","120424166DA562D63BAAD6D10438CA68CE1F058800188DD4AB9E1A4987026871","635","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T01_004_header_invalid-syntax-no-dash.pdf","3","6B49227DEB6536DABE4EF6FF5724A653DF0FD8A6DAA6F04A931F5C5DE7A93C73","635","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T01_005_header-invalid-syntax-replace-char.pdf","3","FCA73410DC70F02F7F6404F57B27FFE48A7D960D5006C3509BA31C7696C8D4B0","636","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T01_006_header-invalid-syntax-no-pdf.pdf","3","CE70814D4063945085B6D6A067E2F79C68D8D6DD8EA3F387A40ADF8AC4615C8C","631","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T01_007_header-no-version-info.pdf","3","DC59BF700FB8875720D5D5EE3F8375131C58735FECC14B3BF8A95223957E678A","627","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_001_document-catalog-No-document-catalog.pdf","2","4437F430E32863B74FCF88B4067B6E659F1B1A0ED7A0D44E0C0628B31416B1BE","589","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_002_document-catalog-wrong-object-number.pdf","2","15C8091C67033464B8CBC0F93A6F440AB89BA7F2AEA28668A7C6D3AA9984FF8E","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_003_document-catalog-indirecte-pages-reference-missing.pdf","2","4A3693816FB2672C6820124433634CDF7A62EE815F9B88E4AB29B498F7A37798","622","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_004_document-catalog-incorrect-pages-reference.pdf","2","DE0828002B56A7A8459445C227001E76AD816F16D4DF903C90072CB244B4D3AA","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_005_document-catalog-type-key-missing.pdf","3","AD4EF477007E1BC1DD1CA7D6485DF7226DC681BDCF1169388E06C975106705C8","628","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_006_document-catalog-wrong-type-key.pdf","3","E74D6389B486B5E413C80533E9E9FCAD4C87F5B9D3EC72B21088E1D543F6AA1D","631","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-01_007_document-catalog-type-key-value-pair-missing.pdf","3","D95101AA4E06DF77FFA3153FDD6255262D358A2C0FCDACCEB19D7102BC5F0496","619","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_001_no-page-tree-node.pdf","2","716EEA1DE49246DB918C45D3298117E4AD4D4D06881B1C66D93FF91BB1109FFB","582","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_002_page-tree-kids-links-recursive.pdf","2","B4D798F141B9DFD8B5C6CCE83BE9B5CCCFBF42B656B3BD1E3E648D0AA2422FB6","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_003_page-tree-different-kids.pdf","3","354E868C94E01B5933F163181F3354309218FB3E78A50BFF45A123FBBD951389","646","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_004_page-tree-non-existing-object-as-kid.pdf","2","D9AF5E2853A0CBBB099300845BC779B277F4A835B39D61F0355AE54384E73596","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_005_page-tree-no-kids.pdf","2","7D80EFF5916D497B674AAD5F80938189325589D2BCADA447FCFE579B58CCD549","621","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_006_page-tree-no-type.pdf","3","DA21B98C9AED497E481248AB7AA545A628E28B28C42CCA7053BFD55A49D621C0","622","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_007_page-tree-wrong-count.pdf","0","69EEA6A9D1A59E1BD9C8B1AEA20448DEB5CC10FE812CD094577F3D609AA2E931","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_008_page-tree-node-no-count.pdf","3","BFB4EAFAA5D18213EB87C200D645B90D528FC48D5DC80807BDCAB8ADD80468BE","626","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-02_009_page-tree-wrong-type.pdf","3","B9B0E77FA3DCC55D6348765A07A3B1ADAD72B1BC59511329AF534DA79ABDC701","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-03_001_page-object-no-type.pdf","3","EF3E17CA8141D386BD1C8AF3BCB21FCA59EE7873B928965D9E605BF23A8F29EB","623","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-03_002_page-object-wrong-type.pdf","3","6B2F1390B85FE6663D98A99C82D0E06C1D55144799E2ECE13245EDF687938F6E","634","synthetic-pdf-testset"
"conformance\validation\synthetic-pdf-testset\T02-03_003_page-object-no-parent.pdf","3","B290D44D6129D62FCDC0B2688F2B375DCE4DF213C7F9DE75F74AD196FD029526","621","synthetic-pdf-testset"
