"Source","SourceRevision","SourcePath","DestinationPath","SHA256","Bytes","Status"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/desktop-publishing/InDesign/Neddy_Flyer_HeatherRyan.pdf","corpus/conformance/preservation/openpreserve-format-corpus/desktop-publishing/InDesign/Neddy_Flyer_HeatherRyan.pdf","6A3C9444D4905C8896A717BE7C30EE7D20B3C319EB2D3D469393A0F0E3529243","59106","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/calibre 0.8.57/Lorem Ipsum - Andrew Jackson.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/calibre 0.8.57/Lorem Ipsum - Andrew Jackson.pdf","DE27B8FEDA2AB31DF801C4894732389A5255F39A1C6A979C418F0D134161B151","41814","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/calibre 0.9.0/lorem-ipsum.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/calibre 0.9.0/lorem-ipsum.pdf","ED5F14EFAADA2CB0EB76CC3529E08859667B2319ADB38C0BE601AE044B7DCCB0","43433","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/iBooks Author 1.1 (190)/lorem-ipsum-openprintcopypw.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/iBooks Author 1.1 (190)/lorem-ipsum-openprintcopypw.pdf","964EF0FED1D9757E6B06F6197503B3E06223435D1A943E8A44AB5A1FD921716A","32582","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/iBooks Author 1.1 (190)/lorem-ipsum-plus-image-openprintcopypw.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/iBooks Author 1.1 (190)/lorem-ipsum-plus-image-openprintcopypw.pdf","5133A751297B9BFF66CFF73CAA9BF26B29859BC6E13F6DD06CAD8657443092EA","66644","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/iBooks Author 1.1 (190)/lorem-ipsum-plus-image.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/iBooks Author 1.1 (190)/lorem-ipsum-plus-image.pdf","90A0FFCFEFF4FA3F94A265FD5E9FDC02441A7B35995B5CE0D2FFFE735634089B","66370","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/iBooks Author 1.1 (190)/lorem-ipsum.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/iBooks Author 1.1 (190)/lorem-ipsum.pdf","DE13A09C609012FF67EDAF241C977D282552DC5C50FD46EDAFA608CB16545B87","32474","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/iBooks Author 2.0 (327)/lorem-ipsum-plus-image-updated-opencopyprintpw.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/iBooks Author 2.0 (327)/lorem-ipsum-plus-image-updated-opencopyprintpw.pdf","2EB1873D43589E63A5212B275BEC83A1E8D3E7A8B55DFC03AA9683E8983B1D68","58296","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/ebooks/iBooks Author 2.0 (327)/lorem-ipsum-plus-image-updated.pdf","corpus/conformance/preservation/openpreserve-format-corpus/ebooks/iBooks Author 2.0 (327)/lorem-ipsum-plus-image-updated.pdf","31047B45155C889BB65D618E919B5071859F5EBA90FC7E4CDFB8C364AFAF4B91","58049","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/fully-featured-pdf/PDF-Sample-Document-Fully-Featured-Layout_Redacted.pdf","corpus/conformance/preservation/openpreserve-format-corpus/fully-featured-pdf/PDF-Sample-Document-Fully-Featured-Layout_Redacted.pdf","0C5A2726B6821FE94A3AB7DA92AB2655E41BF90FFF9AF91F55A48CE6308C061F","22724407","added"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/govdocs1-error-pdfs/error_set_1/008677.pdf","corpus/conformance/preservation/openpreserve-format-corpus/govdocs1-error-pdfs/error_set_1/008677.pdf","4C8252454A8843BA39908ECC88646179214D567F2F1FA03696754E8392C218B4","2204415","excluded-license"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/govdocs1-error-pdfs/error_set_1/032270.pdf","corpus/conformance/preservation/openpreserve-format-corpus/govdocs1-error-pdfs/error_set_1/032270.pdf","7F310F196E2878F49C738BA8435D1F98A4BC4499EA133A50CB82F423C86E11F0","21492","excluded-license"
"openpreserve-format-corpus","366f068cec399d0cdfd61fa473de3ab6dc858098","sources/openpreserve-format-corpus/extracted/format-corpus-366f068cec399d0cdfd61fa473de3ab6dc858098/govdocs1-error-pdfs/error_set_1/125619.pdf","corpus/conformance/preservation/openpreserve-format-corpus/govdocs1-error-pdfs/error_set_1/125619.pdf","4F0207451F4930FEFB04BBA1FEBD2A22FF9FBE73002AB6DCEAC87AD2D52A964B","141832","excluded-license"
